index_column,taxumap1,taxumap2
PP119_49,18.175293,1.3458288
PP12_-4,19.858835,-3.3975012
PP12_-3,18.69409,-3.0639102
PP12_-2,17.415306,-1.653842
PP12_0,17.143492,-5.4060755
PP12_1,17.338125,-1.8426111
PP12_2,18.122234,1.4151899
PP12_3,15.174891,-3.3922212
PP12_4,15.330306,-3.2736247
PP12_5,17.389376,-1.684652
PP12_6,16.389349,-1.7656984
PP12_7,17.454634,-5.1910872
PP12_8,15.808245,-2.885355
PP12_9,17.050465,-4.9361954
PP12_10,15.969021,-2.6220152
PP12_11,15.650641,-2.8363273
PP12_12,18.021946,5.4783516
PP12_13,18.173521,1.2977234
PP12_14,17.878096,1.3374841
PP12_15,18.07321,1.8729106
PP12_17,17.317072,-2.709003
PP12_18,16.612219,-3.866774
PP12_19,18.729792,-3.0304835
PP12_20,17.31347,-1.0065236
PP12_21,20.476553,-2.9546435
PP12_22,16.378916,-4.2369294
PP12_23,16.416916,-4.44981
PP12_24,17.264795,-1.3299681
PP12_25,19.721565,-4.119007
PP12_26,15.923546,-4.392059
PP120_-5,19.672781,-3.1311007
PP120_-4,19.81296,-4.5287433
PP120_-3,17.011892,-3.1132863
PP120_-2,19.78091,-4.662936
PP120_-1,19.451637,-3.5446177
PP120_0,19.050575,-2.9525645
PP120_1,17.466133,-5.1827774
PP120_2,17.37605,-1.7542138
PP120_3,17.772469,0.5216855
PP120_4,17.770014,0.13833277
PP120_5,18.00643,-2.7986221
PP120_6,17.921263,0.043869685
PP120_7,19.850344,-4.6351256
PP120_8,18.809021,-1.8840141
PP120_9,20.215822,-3.0648549
PP120_10,17.926418,0.20660242
PP120_11,19.693336,-2.8735294
PP120_12,19.835585,-4.5563617
PP120_13,18.710403,-3.1360145
PP120_14,14.811553,-3.0309188
PP121_-5,16.239561,-3.7476394
PP121_-4,17.359081,-1.3593972
PP121_-3,15.065029,-4.0344853
PP121_-2,18.900059,-0.48791867
PP121_0,17.379145,-0.783413
PP121_1,17.465134,-1.2311857
PP121_2,17.36189,-0.9730221
PP121_3,18.191391,1.727855
PP121_4,18.294283,1.6118276
PP121_5,18.354216,1.2516465
PP121_6,18.797424,-0.66629964
PP121_7,17.538723,-0.8343588
PP121_8,18.348953,1.210323
PP121_9,17.444443,-0.77126974
PP121_10,18.34788,1.2406043
PP121_11,18.453108,-0.29824585
PP121_12,18.454012,-0.2760309
PP121_13,18.122025,1.8229209
PP121_14,18.25678,1.7633109
PP121_15,18.372608,1.1918564
PP121_16,18.213095,1.8095477
PP121_17,18.203203,1.818508
PP121_18,18.203527,1.8028737
PP121_19,18.268782,1.7602664
PP121_20,18.207888,1.828273
PP121_21,18.22996,1.7864686
PP121_22,18.375862,1.3470243
PP121_23,17.990181,5.4189587
PP121_24,18.215977,1.7292397
PP121_25,18.212458,1.7723331
PP121_26,18.215906,1.8747699
PP121_27,18.237999,1.7842146
PP121_28,18.0781,1.8752345
PP121_29,18.320354,1.5082551
PP121_30,18.081125,1.9757332
PP121_31,18.394867,-0.15361561
PP121_32,18.202024,1.7278713
PP121_33,18.427979,1.2691649
PP121_34,18.907635,-0.47532868
PP121_35,18.212587,1.6321725
PP121_36,18.344799,-0.20941594
PP121_37,18.263412,1.7566755
PP121_38,18.270113,1.6623263
PP121_39,17.968872,-2.518846
PP121_40,17.996708,-2.4975054
PP122_-3,17.277084,-1.8826205
PP122_-2,18.94527,-5.4741826
PP122_-1,19.03619,-5.554065
